iter	Passed	Remaining
747	18007	6066
748	18032	6042
749	18057	6019
750	18081	5995
751	18103	5970
752	18129	5946
753	18155	5923
754	18183	5900
755	18208	5876
756	18238	5854
757	18263	5830
758	18288	5806
759	18313	5783
760	18339	5759
761	18363	5735
762	18387	5711
763	18413	5687
764	18435	5663
765	18457	5638
766	18481	5614
767	18503	5589
768	18524	5564
769	18548	5540
770	18572	5516
771	18604	5494
772	18628	5470
773	18654	5446
774	18680	5423
775	18704	5399
776	18728	5375
777	18756	5352
778	18784	5329
779	18807	5304
780	18830	5280
781	18852	5255
782	18874	5230
783	18902	5207
784	18925	5183
785	18950	5159
786	18971	5134
787	18995	5110
788	19019	5086
789	19042	5062
790	19063	5037
791	19086	5012
792	19111	4988
793	19135	4964
794	19159	4940
795	19182	4916
796	19209	4892
797	19242	4871
798	19267	4846
799	19293	4823
800	19318	4799
801	19345	4776
802	19367	4751
803	19392	4727
804	19419	4704
805	19450	4681
806	19476	4657
807	19505	4634
808	19529	4610
809	19554	4586
810	19580	4563
811	19604	4538
812	19628	4514
813	19654	4491
814	19679	4467
815	19707	4443
816	19731	4419
817	19758	4396
818	19791	4373
819	19819	4350
820	19847	4327
821	19875	4303
822	19898	4279
823	19928	4256
824	19956	4233
825	19985	4209
826	20014	4186
827	20039	4162
828	20070	4139
829	20096	4116
830	20134	4094
831	20165	4071
832	20195	4048
833	20224	4025
834	20250	4001
835	20279	3978
836	20308	3954
837	20334	3930
838	20364	3907
839	20393	3884
840	20423	3861
841	20455	3838
842	20486	3815
843	20515	3791
844	20544	3768
845	20575	3745
846	20605	3722
847	20634	3698
848	20661	3674
849	20688	3650
850	20716	3627
851	20747	3604
852	20777	3580
853	20805	3556
854	20832	3532
855	20860	3509
856	20887	3485
857	20916	3461
858	20943	3437
859	20974	3414
860	21001	3390
861	21031	3366
862	21063	3343
863	21092	3320
864	21122	3296
865	21155	3273
866	21182	3249
867	21209	3225
868	21237	3201
869	21263	3177
870	21296	3154
871	21327	3130
872	21374	3109
873	21403	3085
874	21440	3062
875	21472	3039
876	21504	3016
877	21533	2992
878	21565	2968
879	21593	2944
880	21626	2921
881	21657	2897
882	21694	2874
883	21725	2850
884	21756	2827
885	21786	2803
886	21816	2779
887	21850	2755
888	21888	2732
889	21923	2709
890	21956	2686
891	21994	2662
892	22029	2639
893	22064	2616
894	22108	2593
895	22150	2571
896	22192	2548
897	22238	2525
898	22289	2504
899	22336	2481
900	22385	2459
901	22438	2437
902	22494	2416
903	22549	2394
904	22595	2371
905	22641	2349
906	22678	2325
907	22709	2300
908	22753	2277
909	22806	2255
910	22875	2234
911	22952	2214
912	23057	2197
913	23149	2178
914	23250	2159
915	23310	2137
916	23358	2114
917	23404	2090
918	23452	2067
919	23505	2043
920	23555	2020
921	23618	1998
922	23679	1975
923	23735	1952
924	23781	1928
925	23822	1903
926	23868	1879
927	23908	1854
928	23940	1829
929	23971	1804
930	24006	1779
931	24039	1753
